Brand,Model,Car_Type,Year,Age_Years,Transmission,Fuel_Type,No_of_Owners,KM_Driven,Price_USD
Nissan,Murano,SUV,2017,9,CVT,Diesel,3,160527,9150
Honda,City,Sedan,2024,2,Automatic,Diesel,1,16336,12970
Nissan,Titan,Truck,2020,6,Automatic,Petrol,1,49956,17740
Tesla,Model 3,Sedan,2018,8,Automatic,Electric,2,164711,12350
Honda,CR-V,SUV,2025,1,Automatic,Petrol,1,11695,22960
Tesla,Model S,Sedan,2014,12,Automatic,Electric,4,228901,13390
Hyundai,Tucson,SUV,2022,4,Automatic,Petrol,1,63224,17880
Land Rover,Range Rover Sport,SUV,2019,7,Automatic,Petrol,2,97004,35540
Toyota,Tundra,Truck,2025,1,Automatic,Petrol,1,19970,32340
Kia,Forte,Sedan,2015,11,Automatic,Petrol,2,184105,5250
Lexus,RX,SUV,2021,5,Semi-Automatic,Petrol,1,84407,25290
Chevrolet,Traverse,SUV,2022,4,Automatic,Petrol,2,91632,21410
Mazda,Mazda3,Sedan,2026,0,Manual,Petrol,1,500,21420
Volkswagen,Jetta,Sedan,2019,7,Automatic,Hybrid,1,140619,8230
Mercedes-Benz,GLC,SUV,2021,5,Manual,CNG,2,49073,23130
Nissan,Sentra,Sedan,2022,4,Manual,Hybrid,1,86697,11280
Mazda,Mazda3,Sedan,2016,10,Automatic,Diesel,1,139642,6380
Lexus,NX,SUV,2024,2,Automatic,Petrol,1,23168,31240
BMW,3 Series,Sedan,2021,5,Semi-Automatic,Hybrid,2,84934,21920
Nissan,Murano,SUV,2023,3,Manual,Petrol,1,49748,22500
Chevrolet,Silverado 1500,Truck,2018,8,Automatic,CNG,3,87477,11880
Jeep,Grand Cherokee,SUV,2016,10,Automatic,Diesel,1,125146,11780
Lexus,ES,Sedan,2015,11,CVT,Diesel,4,106263,9800
Nissan,370Z,Coupe,2021,5,Automatic,Diesel,1,69613,19520
Mini,Cooper Convertible,Convertible,2022,4,CVT,Petrol,2,60931,18250
Hyundai,Tucson,SUV,2025,1,Manual,Hybrid,1,7993,23250
Toyota,Yaris,Sedan,2017,9,Automatic,Petrol,1,159904,3600
Jeep,Compass,SUV,2018,8,Automatic,Petrol,3,146889,8620
Ford,Mustang Mach-E,SUV,2025,1,Automatic,Electric,1,17448,36130
Peugeot,208,Hatchback,2014,12,CVT,Petrol,4,153437,4500
Toyota,Camry,Sedan,2016,10,CVT,CNG,4,170330,6050
Nissan,370Z,Coupe,2022,4,Automatic,Petrol,2,34054,19680
Nissan,Murano,SUV,2021,5,CVT,Petrol,1,93405,17260
Audi,Q7,SUV,2022,4,Semi-Automatic,Petrol,1,50484,35970
Fiat,500,Hatchback,2022,4,Manual,Diesel,2,90325,7800
Tesla,Model X,SUV,2019,7,Automatic,Electric,3,92061,33930
Toyota,Tacoma,Truck,2026,0,Automatic,Petrol,1,500,28360
Chevrolet,Bolt EV,Hatchback,2024,2,Automatic,Electric,1,34027,17000
Ford,Escape,SUV,2023,3,Automatic,Diesel,2,49109,16280
Honda,Insight,Sedan,2022,4,Automatic,Petrol,2,69383,14530
Lexus,IS,Sedan,2025,1,Automatic,Petrol,1,11553,35030
Mercedes-Benz,GLC,SUV,2019,7,Automatic,Petrol,1,112535,20200
Kia,Rio,Hatchback,2023,3,Automatic,Diesel,1,28571,10600
BMW,4 Series,Coupe,2020,6,Semi-Automatic,Petrol,1,72553,23850
Honda,Fit,Hatchback,2024,2,Automatic,Petrol,1,42326,11710
Volkswagen,Jetta,Sedan,2020,6,Manual,Hybrid,3,76600,9420
Kia,Rio,Hatchback,2021,5,Automatic,Hybrid,2,72958,9140
Volkswagen,Tiguan,SUV,2019,7,Automatic,Hybrid,2,145558,10730
Volkswagen,ID.4,SUV,2020,6,Automatic,Electric,3,76603,18600
GMC,Terrain,SUV,2018,8,Automatic,Petrol,1,55485,11220
Hyundai,Ioniq 5,SUV,2015,11,Automatic,Electric,1,107552,11350
Mazda,CX-9,SUV,2019,7,Automatic,Petrol,3,102465,14530
Lexus,IS,Sedan,2017,9,Automatic,Petrol,3,120241,12450
Honda,City,Sedan,2016,10,Automatic,Hybrid,4,127174,5330
Skoda,Octavia,Sedan,2020,6,Automatic,Petrol,1,109725,10370
GMC,Acadia,SUV,2013,13,Manual,Diesel,3,120330,7110
Toyota,Yaris Hatchback,Hatchback,2022,4,Manual,Petrol,2,35375,9660
Toyota,Sienna,Minivan,2025,1,Automatic,Petrol,1,15960,30990
Toyota,Prius Prime,Hatchback,2019,7,Automatic,Petrol,3,103555,12580
Volkswagen,Atlas,SUV,2024,2,Automatic,Petrol,1,18750,26710
Toyota,Tundra,Truck,2026,0,Automatic,Diesel,1,500,39000
Nissan,Sentra,Sedan,2021,5,Automatic,Petrol,2,69496,10700
Peugeot,208,Hatchback,2023,3,Automatic,Petrol,2,48165,12810
Mazda,Mazda6,Sedan,2026,0,Automatic,Petrol,1,500,23540
Mercedes-Benz,C-Class Coupe,Coupe,2015,11,Automatic,Hybrid,1,274450,10530
Nissan,Versa,Hatchback,2020,6,Automatic,Petrol,2,52874,7350
Hyundai,Ioniq 5,SUV,2020,6,Automatic,Electric,2,108960,18200
Volkswagen,Tiguan,SUV,2018,8,Automatic,CNG,1,97131,11080
Toyota,Yaris Hatchback,Hatchback,2024,2,Manual,Petrol,1,19568,12300
Chevrolet,Equinox,SUV,2024,2,Automatic,Petrol,1,29502,20550
Ford,Fusion,Sedan,2013,13,Automatic,Petrol,5,233083,3280
Renault,Clio,Hatchback,2025,1,Automatic,Hybrid,1,22291,15820
Honda,Civic,Sedan,2022,4,Automatic,Petrol,1,51234,14260
BMW,X5,SUV,2022,4,Automatic,Petrol,1,76517,37100
GMC,Terrain,SUV,2021,5,Manual,Petrol,1,92118,13160
Nissan,Altima,Sedan,2021,5,Automatic,Petrol,2,62981,12750
Porsche,911,Coupe,2021,5,Manual,Diesel,1,77462,55890
Mazda,Mazda3,Sedan,2020,6,CVT,Petrol,3,98275,9080
Lexus,ES,Sedan,2013,13,Automatic,Petrol,4,109884,8080
Ford,Mustang Convertible,Convertible,2013,13,Automatic,Diesel,5,152120,7350
Chevrolet,Camaro,Coupe,2021,5,CVT,CNG,1,105577,14480
Volkswagen,Tiguan,SUV,2023,3,Semi-Automatic,Diesel,2,34199,17910
Mercedes-Benz,GLC,SUV,2015,11,CVT,Diesel,4,129386,12970
Chevrolet,Bolt EV,Hatchback,2011,15,Automatic,Electric,3,172735,4180
Mazda,MX-5 Miata,Convertible,2022,4,CVT,Petrol,1,102158,14870
Toyota,Prius,Hatchback,2016,10,Manual,Petrol,4,209950,5480
Nissan,370Z,Coupe,2022,4,Manual,Petrol,2,75192,17560
Chevrolet,Camaro,Coupe,2021,5,Manual,Petrol,2,89734,15890
Toyota,Corolla,Sedan,2017,9,Automatic,Petrol,1,72865,7490
Hyundai,i20,Hatchback,2018,8,CVT,Petrol,3,158630,4280
Porsche,911,Coupe,2025,1,Automatic,Petrol,1,12593,88670
Jeep,Grand Cherokee,SUV,2023,3,Automatic,CNG,2,34496,24830
BMW,3 Series,Sedan,2024,2,Automatic,Diesel,1,16460,32110
Ford,Explorer,SUV,2025,1,CVT,Diesel,1,16686,29140
Subaru,Outback,SUV,2026,0,Automatic,Petrol,1,500,28180
Toyota,Yaris Hatchback,Hatchback,2020,6,Automatic,Petrol,3,71955,8320
Subaru,Outback,SUV,2021,5,CVT,Diesel,1,40526,15580
Tesla,Model Y,SUV,2021,5,Automatic,Electric,2,64512,23450
Nissan,370Z,Coupe,2018,8,Automatic,Petrol,2,110552,13470
Mercedes-Benz,C-Class Coupe,Coupe,2021,5,Automatic,CNG,1,30786,23490
Honda,City,Sedan,2021,5,Automatic,Petrol,2,33520,9420
Tesla,Model X,SUV,2023,3,Automatic,Electric,2,60545,50570
Tesla,Model 3,Sedan,2023,3,Automatic,Electric,1,35538,26000
Honda,Ridgeline,Truck,2017,9,Automatic,Petrol,4,114920,12610
Toyota,Corolla,Sedan,2019,7,Automatic,Petrol,3,70214,8930
Mercedes-Benz,C-Class Coupe,Coupe,2024,2,Automatic,Petrol,1,29910,37390
Nissan,Rogue,SUV,2016,10,Automatic,Petrol,2,145957,8970
Toyota,Tundra,Truck,2020,6,Semi-Automatic,Petrol,1,123482,16400
Toyota,RAV4,SUV,2017,9,Automatic,Petrol,1,109512,10030
Ford,Mustang,Coupe,2012,14,Manual,Petrol,2,185562,6630
Kia,Forte,Sedan,2025,1,Automatic,Petrol,1,12463,16220
Mazda,Mazda6,Sedan,2011,15,Automatic,Diesel,5,171604,3800
Hyundai,Veloster,Coupe,2017,9,CVT,Petrol,2,55445,6880
BMW,3 Series,Sedan,2022,4,Automatic,Hybrid,1,58430,27510
Lexus,IS,Sedan,2021,5,Automatic,Diesel,2,85268,19120
Ram,1500,Truck,2025,1,Automatic,Petrol,1,10099,29350
Tesla,Model Y,SUV,2015,11,Automatic,Electric,3,129617,11560
Audi,Q5,SUV,2014,12,CVT,Petrol,5,163378,9450
Kia,Rio,Hatchback,2022,4,Automatic,Petrol,1,61461,10640
BMW,Z4,Convertible,2023,3,CVT,Petrol,1,56324,35200
Honda,Pilot,SUV,2020,6,CVT,CNG,3,151094,15050
Mazda,Mazda6,Sedan,2019,7,Automatic,Petrol,2,122247,10160
Honda,Civic,Sedan,2021,5,CVT,Diesel,2,98211,11140
Nissan,370Z,Coupe,2021,5,Manual,Petrol,1,91037,16010
Hyundai,Santa Fe,SUV,2025,1,Automatic,Hybrid,1,13774,28520
Chrysler,Pacifica,Minivan,2017,9,Manual,Petrol,1,82351,12340
Toyota,Prius Prime,Hatchback,2020,6,Automatic,Hybrid,2,109602,13170
BMW,4 Series,Coupe,2015,11,Automatic,Diesel,2,128573,13980
Toyota,Yaris Hatchback,Hatchback,2019,7,Automatic,Petrol,3,62321,6920
Volkswagen,Jetta,Sedan,2013,13,Automatic,Petrol,2,167411,5030
Nissan,Altima,Sedan,2019,7,Manual,CNG,2,84153,9820
Nissan,Versa,Hatchback,2023,3,Automatic,Diesel,2,55926,9530
Lexus,ES,Sedan,2019,7,Automatic,Petrol,1,91951,19520
Tesla,Model S,Sedan,2017,9,Automatic,Electric,2,136121,22820
Porsche,911,Coupe,2017,9,Manual,Hybrid,4,235943,29850
Hyundai,Tucson,SUV,2024,2,Automatic,Petrol,1,39426,20410
Chevrolet,Camaro,Coupe,2023,3,Automatic,Hybrid,2,34922,21990
Honda,Odyssey,Minivan,2026,0,Manual,Petrol,1,500,32120
Kia,Sportage,SUV,2022,4,Automatic,Petrol,1,57414,16730
Kia,Forte,Sedan,2018,8,Automatic,Petrol,2,104197,8060
Hyundai,Elantra,Sedan,2024,2,Manual,Petrol,1,19486,15720
Kia,Rio,Hatchback,2017,9,Automatic,CNG,3,85515,5520
Subaru,Legacy,Sedan,2023,3,Automatic,Petrol,2,62233,15010
Honda,Civic,Sedan,2022,4,Manual,Petrol,2,67919,11590
Ford,Escape,SUV,2015,11,CVT,Petrol,1,86036,8410
Honda,Odyssey,Minivan,2024,2,Automatic,Petrol,1,23369,27670
Volkswagen,Golf,Hatchback,2020,6,Semi-Automatic,Petrol,3,96805,9840
Mazda,CX-5,SUV,2023,3,Automatic,Petrol,1,45551,19810
Nissan,Murano,SUV,2013,13,Automatic,Petrol,2,246764,5570
Kia,K5,Sedan,2020,6,Manual,Hybrid,2,83002,11760
Toyota,Yaris Hatchback,Hatchback,2020,6,Automatic,Diesel,1,116206,7030
BMW,X3,SUV,2020,6,Automatic,CNG,1,147536,19380
Land Rover,Range Rover Evoque,SUV,2025,1,Automatic,Diesel,1,11251,39660
Mercedes-Benz,GLE,SUV,2022,4,CVT,Hybrid,2,52875,38400
Honda,CR-V,SUV,2025,1,Semi-Automatic,Petrol,1,25838,24180
BMW,Z4,Convertible,2024,2,Automatic,Petrol,1,12942,38760
Toyota,RAV4,SUV,2014,12,Automatic,Petrol,1,137914,7760
BMW,X5,SUV,2023,3,Automatic,Diesel,2,70853,40830
Porsche,911,Coupe,2020,6,Automatic,Petrol,3,65619,50060
Volkswagen,Golf,Hatchback,2015,11,Automatic,Hybrid,1,238942,5310
BMW,Z4,Convertible,2025,1,Automatic,Petrol,1,11486,46030
Lexus,NX,SUV,2024,2,Automatic,Petrol,1,16840,30360
Hyundai,Santa Fe,SUV,2024,2,Automatic,Petrol,1,23634,25490
Porsche,911,Coupe,2022,4,Automatic,Petrol,2,64402,60840
Nissan,Altima,Sedan,2017,9,CVT,Petrol,3,104496,8790
Ram,1500,Truck,2022,4,Automatic,Petrol,1,53304,23640
Fiat,500,Hatchback,2025,1,Manual,Petrol,1,5907,13880
Jeep,Compass,SUV,2020,6,Manual,Diesel,1,94877,11490
Ford,Focus,Hatchback,2021,5,Manual,Hybrid,2,80586,10960
Ford,Mustang Mach-E,SUV,2023,3,Automatic,Electric,2,42641,26760
Subaru,Legacy,Sedan,2024,2,Automatic,Petrol,1,47106,16400
Suzuki,Swift,Hatchback,2018,8,CVT,Petrol,1,104295,6220
Hyundai,Tucson,SUV,2023,3,CVT,Hybrid,1,47952,19580
Audi,A4,Sedan,2025,1,Manual,Petrol,1,10752,32550
Mini,Cooper Convertible,Convertible,2018,8,CVT,Diesel,3,49605,11490
Tesla,Model X,SUV,2016,10,Automatic,Electric,2,88895,26000
Toyota,Yaris Hatchback,Hatchback,2026,0,Automatic,Hybrid,1,500,16490
Ram,1500,Truck,2023,3,Automatic,Diesel,1,48568,25690
Hyundai,Ioniq 5,SUV,2025,1,Automatic,Electric,1,11011,31750
Volvo,XC90,SUV,2020,6,Automatic,Diesel,2,99460,25440
Mazda,Mazda3,Sedan,2021,5,Manual,Petrol,2,53376,10980
Nissan,370Z,Coupe,2026,0,Automatic,Petrol,1,500,33750
Lexus,NX,SUV,2023,3,Automatic,CNG,2,29365,25440
Volkswagen,Jetta,Sedan,2016,10,Automatic,Petrol,4,103585,6000
Tesla,Model X,SUV,2023,3,Automatic,Electric,2,29989,53040
Lexus,RX,SUV,2023,3,CVT,Petrol,1,64155,31450
Toyota,RAV4,SUV,2018,8,Automatic,Petrol,3,54152,11450
Mercedes-Benz,E-Class,Sedan,2024,2,Automatic,Petrol,1,17715,42760
Mazda,MX-5 Miata,Convertible,2026,0,Automatic,Hybrid,1,500,29190
Ford,F-150,Truck,2024,2,Automatic,Hybrid,1,22534,28720
Hyundai,i20,Hatchback,2023,3,Automatic,Petrol,1,37998,9860
Mazda,CX-5,SUV,2023,3,Semi-Automatic,Petrol,1,22666,19810
GMC,Terrain,SUV,2020,6,Automatic,Petrol,1,46928,15390
Hyundai,Tucson,SUV,2022,4,Manual,Petrol,2,67563,14610
Toyota,Yaris,Sedan,2025,1,Automatic,Petrol,1,15380,14090
Kia,EV6,SUV,2015,11,Automatic,Electric,2,146393,12060
BMW,5 Series,Sedan,2026,0,Automatic,Petrol,1,500,56250
Toyota,RAV4,SUV,2023,3,Manual,Hybrid,2,35838,19210
Mercedes-Benz,GLE,SUV,2024,2,Manual,Petrol,1,49156,43010
Volkswagen,Tiguan,SUV,2024,2,Automatic,Diesel,1,24014,21560
Honda,Pilot,SUV,2020,6,Automatic,Diesel,1,58893,18830
Mercedes-Benz,GLE,SUV,2023,3,Automatic,Petrol,2,57349,40600
Toyota,Tundra,Truck,2019,7,Automatic,Petrol,2,54317,17320
Mazda,CX-5,SUV,2021,5,Manual,CNG,2,96426,12130
Ford,F-150,Truck,2018,8,Automatic,Hybrid,1,100478,15670
Peugeot,208,Hatchback,2012,14,Automatic,Petrol,2,269986,1490
Ford,Mustang Mach-E,SUV,2015,11,Automatic,Electric,3,218387,9170
Kia,Forte,Sedan,2024,2,Manual,Petrol,1,18948,14550
Audi,A6,Sedan,2014,12,CVT,Petrol,3,126919,13680
Lexus,RX,SUV,2015,11,Automatic,Hybrid,2,140180,14290
Honda,Odyssey,Minivan,2021,5,Manual,Petrol,1,70889,18340
Hyundai,Veloster,Coupe,2019,7,Automatic,Petrol,1,88875,9180
Skoda,Octavia,Sedan,2019,7,Automatic,Petrol,2,61990,10410
Tesla,Model S,Sedan,2017,9,Automatic,Electric,1,186949,24560
Hyundai,Santa Fe,SUV,2017,9,CVT,Petrol,2,157930,9250
BMW,X5,SUV,2021,5,Automatic,Diesel,1,97009,32140
Toyota,RAV4,SUV,2020,6,Automatic,Hybrid,1,51465,14410
Mazda,CX-5,SUV,2025,1,Manual,Petrol,1,12040,23590
Subaru,Forester,SUV,2018,8,Manual,Petrol,2,116619,9980
Nissan,Versa,Hatchback,2023,3,CVT,Petrol,1,49858,9590
BMW,X5,SUV,2020,6,Automatic,Petrol,3,88190,26560
Toyota,Highlander,SUV,2018,8,Automatic,Petrol,1,137823,13500
Toyota,Prius Prime,Hatchback,2024,2,Automatic,Hybrid,1,32553,23800
Toyota,Camry,Sedan,2021,5,Automatic,Petrol,2,110987,12990
Ford,Mustang Convertible,Convertible,2023,3,Automatic,Hybrid,1,34636,27880
GMC,Terrain,SUV,2021,5,Automatic,Petrol,1,62158,15810
Tesla,Model Y,SUV,2020,6,Automatic,Electric,2,127681,18730
Hyundai,Santa Fe,SUV,2024,2,Automatic,Petrol,1,22071,26050
Jeep,Compass,SUV,2021,5,Automatic,Petrol,1,47008,15820
Chrysler,Pacifica,Minivan,2024,2,Automatic,Diesel,1,20165,25690
Hyundai,Elantra,Sedan,2020,6,Automatic,Petrol,3,142301,7790
Nissan,Leaf,Hatchback,2022,4,Automatic,Electric,1,81160,14510
Honda,CR-V,SUV,2021,5,Automatic,Diesel,2,66976,14840
Hyundai,Elantra,Sedan,2023,3,Manual,Hybrid,2,59793,13080
Jeep,Compass,SUV,2020,6,Automatic,Petrol,3,72756,12110
Audi,Q5,SUV,2020,6,Manual,Petrol,2,98952,21120
Volkswagen,ID.4,SUV,2018,8,Automatic,Electric,3,77215,14590
Mercedes-Benz,C-Class Coupe,Coupe,2022,4,CVT,Petrol,1,56425,27740
Mazda,MX-5 Miata,Convertible,2016,10,Manual,Petrol,4,242250,3970
Audi,Q7,SUV,2017,9,Automatic,Diesel,3,106373,19940
Lexus,ES,Sedan,2020,6,Manual,Petrol,1,80801,19230
Ford,Fusion,Sedan,2018,8,Automatic,Petrol,3,77704,8260
Fiat,500,Hatchback,2021,5,Manual,Diesel,2,68964,8090
Honda,CR-V,SUV,2024,2,CVT,Hybrid,1,26214,21120
Chevrolet,Bolt EV,Hatchback,2025,1,Automatic,Electric,1,13296,20270
Chevrolet,Spark,Hatchback,2021,5,Automatic,Diesel,1,58207,8680
Honda,Accord,Sedan,2018,8,Automatic,Diesel,1,108183,10340
Chevrolet,Traverse,SUV,2020,6,Semi-Automatic,Petrol,1,134799,15540
Nissan,Rogue,SUV,2023,3,Automatic,Petrol,2,54079,18280
BMW,X3,SUV,2016,10,Automatic,Petrol,4,143629,14120
Jeep,Grand Cherokee,SUV,2022,4,Automatic,Petrol,2,74387,22510
Jeep,Compass,SUV,2020,6,Manual,Petrol,1,94494,12340
Honda,Accord,Sedan,2020,6,Automatic,Petrol,2,135014,12890
Chevrolet,Equinox,SUV,2017,9,CVT,Petrol,2,148860,8770
Skoda,Octavia,Sedan,2016,10,Automatic,Petrol,2,148523,6660
Audi,A6,Sedan,2025,1,Automatic,CNG,1,24674,40560
Mazda,MX-5 Miata,Convertible,2016,10,Manual,Petrol,4,121308,8270
Chevrolet,Malibu,Sedan,2011,15,Manual,Diesel,1,261725,2980
Mercedes-Benz,C-Class Coupe,Coupe,2019,7,Automatic,Diesel,3,106107,20380
Ford,Mustang Convertible,Convertible,2025,1,Manual,Diesel,1,14662,28870
Kia,Rio,Hatchback,2025,1,Manual,Petrol,1,20829,13170
Kia,Sorento,SUV,2018,8,Automatic,Petrol,1,73196,13400
Renault,Clio,Hatchback,2020,6,Automatic,Hybrid,2,115072,8160
GMC,Acadia,SUV,2020,6,Automatic,Petrol,1,117495,16780
BMW,X5,SUV,2022,4,Semi-Automatic,Diesel,1,87852,36410
Ford,Explorer,SUV,2024,2,Automatic,Hybrid,1,28803,28730
Renault,Clio,Hatchback,2020,6,Automatic,Petrol,3,118822,8170
Honda,Insight,Sedan,2017,9,Manual,Hybrid,2,137543,8430
BMW,X3,SUV,2021,5,Automatic,Petrol,1,63429,24780
Hyundai,Veloster,Coupe,2016,10,CVT,Petrol,2,160030,5950
Volkswagen,Passat,Sedan,2015,11,Manual,Diesel,2,105236,6650
Subaru,Outback,SUV,2025,1,CVT,Petrol,1,7735,24300
Toyota,Yaris,Sedan,2026,0,Automatic,Petrol,1,500,15290
Kia,Carnival,Minivan,2011,15,Manual,Petrol,3,280543,2970
BMW,X5,SUV,2023,3,Manual,Petrol,1,43700,38190
BMW,Z4,Convertible,2023,3,Automatic,Hybrid,2,32218,33060
Hyundai,Ioniq 5,SUV,2020,6,Automatic,Electric,3,81744,18220
Renault,Clio,Hatchback,2025,1,Automatic,Petrol,1,14752,15390
Chevrolet,Traverse,SUV,2020,6,CVT,Diesel,1,76489,16980
Mercedes-Benz,C-Class Coupe,Coupe,2021,5,CVT,Petrol,2,55256,24410
Renault,Clio,Hatchback,2022,4,Automatic,Petrol,2,35629,11420
Mini,Cooper,Hatchback,2024,2,Manual,Petrol,1,22007,18430
Land Rover,Range Rover Sport,SUV,2020,6,Manual,Diesel,2,75759,34900
Mercedes-Benz,C-Class Coupe,Coupe,2014,12,Semi-Automatic,Petrol,4,263815,8540
Ford,Explorer,SUV,2022,4,Automatic,Petrol,2,45735,20560
Mini,Cooper Convertible,Convertible,2016,10,CVT,Diesel,3,160725,7920
Nissan,Titan,Truck,2023,3,Automatic,Petrol,1,38466,24900
Chevrolet,Bolt EV,Hatchback,2018,8,Automatic,Electric,3,111979,8750
Ford,Mustang,Coupe,2020,6,Automatic,CNG,1,70456,15560
Tesla,Model S,Sedan,2015,11,Automatic,Electric,3,95888,19380
Toyota,Sienna,Minivan,2022,4,Automatic,Petrol,1,71884,21420
Chrysler,Pacifica,Minivan,2020,6,CVT,Petrol,2,131435,14160
Mini,Cooper,Hatchback,2011,15,CVT,Petrol,2,159550,4820
Toyota,GR86,Coupe,2016,10,CVT,Diesel,4,92711,8190
Hyundai,Tucson,SUV,2020,6,CVT,Hybrid,2,100089,13920
Ford,Mustang Mach-E,SUV,2016,10,Automatic,Electric,2,79604,13380
Nissan,Leaf,Hatchback,2024,2,Automatic,Electric,1,33618,18940
Nissan,Versa,Hatchback,2023,3,Semi-Automatic,Petrol,1,32638,10540
Ford,Explorer,SUV,2016,10,CVT,Petrol,2,126235,11430
Tesla,Model 3,Sedan,2013,13,Automatic,Electric,5,292072,4840
Volkswagen,Tiguan,SUV,2011,15,Automatic,Diesel,4,231138,3240
Subaru,Legacy,Sedan,2022,4,Automatic,Hybrid,2,68946,14890
Hyundai,Santa Fe,SUV,2023,3,Manual,Hybrid,1,60489,22120
Porsche,911,Coupe,2024,2,Automatic,Petrol,1,13303,80750
Nissan,Altima,Sedan,2016,10,CVT,Petrol,3,121974,8130
Mercedes-Benz,C-Class,Sedan,2024,2,CVT,Diesel,1,22029,31430
Tesla,Model X,SUV,2023,3,Automatic,Electric,1,49744,58760
Nissan,Sentra,Sedan,2019,7,Manual,Petrol,1,46006,9170
Subaru,Legacy,Sedan,2022,4,Automatic,CNG,2,45376,13370
Volkswagen,ID.4,SUV,2023,3,Automatic,Electric,2,66470,25020
Lexus,NX,SUV,2024,2,Automatic,Petrol,1,15287,32260
Mazda,Mazda6,Sedan,2018,8,Automatic,Petrol,2,139184,8530
Toyota,Prius Prime,Hatchback,2023,3,CVT,Hybrid,2,51919,20410
Chevrolet,Equinox,SUV,2012,14,Manual,Petrol,1,92848,5400
Lexus,NX,SUV,2024,2,CVT,Petrol,1,21570,28380
Mini,Cooper,Hatchback,2022,4,Automatic,Petrol,1,58832,16240
Honda,Ridgeline,Truck,2023,3,Manual,Diesel,2,25480,25130
Tesla,Model S,Sedan,2021,5,Automatic,Electric,2,45614,38500
Hyundai,Ioniq 5,SUV,2024,2,Automatic,Electric,1,24168,31330
Mercedes-Benz,GLE,SUV,2016,10,Automatic,Petrol,1,158467,19070
Ford,Escape,SUV,2020,6,Manual,Petrol,3,92681,12570
Hyundai,Tucson,SUV,2014,12,Semi-Automatic,Petrol,3,162224,6670
Mercedes-Benz,C-Class Coupe,Coupe,2023,3,Automatic,Hybrid,2,40218,34770
BMW,3 Series,Sedan,2018,8,CVT,Petrol,1,77432,16530
Honda,Pilot,SUV,2023,3,Semi-Automatic,Petrol,2,37032,26240
Ford,Mustang,Coupe,2020,6,Automatic,Petrol,3,50840,15300
Nissan,Versa,Hatchback,2020,6,Automatic,Diesel,1,81119,7400
Nissan,Sentra,Sedan,2025,1,CVT,Petrol,1,10055,16630
Chevrolet,Spark,Hatchback,2011,15,Automatic,Petrol,5,379036,1200
Nissan,370Z,Coupe,2020,6,Automatic,CNG,2,129972,12590
Honda,Ridgeline,Truck,2025,1,Semi-Automatic,Diesel,1,16649,31220
Suzuki,Swift,Hatchback,2019,7,Manual,Petrol,3,115470,5110
Nissan,Sentra,Sedan,2017,9,Automatic,Petrol,1,95759,7490
Volkswagen,ID.4,SUV,2017,9,Automatic,Electric,1,141980,12400
Jeep,Grand Cherokee,SUV,2018,8,Manual,Diesel,3,117401,12840
Chevrolet,Spark,Hatchback,2018,8,CVT,Hybrid,2,118717,5310
Honda,Odyssey,Minivan,2011,15,Automatic,Petrol,3,190729,6130
Hyundai,Veloster,Coupe,2017,9,Automatic,Petrol,4,143757,6090
Ford,Focus,Hatchback,2015,11,Automatic,Petrol,1,149977,5590
Kia,Rio,Hatchback,2022,4,Automatic,Diesel,2,90785,7640
Volvo,XC60,SUV,2020,6,Automatic,Petrol,2,107127,19430
Volkswagen,Passat,Sedan,2019,7,CVT,Diesel,2,64733,10310
Nissan,Leaf,Hatchback,2017,9,Automatic,Electric,3,195103,7150
Toyota,Yaris Hatchback,Hatchback,2023,3,Manual,Petrol,2,39777,10500
Kia,Carnival,Minivan,2023,3,Automatic,Petrol,1,54558,23750
Lexus,IS,Sedan,2020,6,CVT,Petrol,3,121586,17510
Nissan,Murano,SUV,2022,4,Automatic,Diesel,1,44359,21470
Nissan,370Z,Coupe,2024,2,Automatic,Petrol,1,20363,25460
Nissan,370Z,Coupe,2012,14,Automatic,Petrol,4,212538,5760
Kia,Forte,Sedan,2020,6,Automatic,Hybrid,3,127609,7530
Nissan,Rogue,SUV,2020,6,Manual,Hybrid,3,60184,12040
Chevrolet,Traverse,SUV,2021,5,Automatic,Petrol,2,66710,18080
Audi,Q7,SUV,2016,10,Automatic,CNG,1,149257,17580
Mercedes-Benz,GLE,SUV,2024,2,Automatic,Petrol,1,22690,44820
Mazda,Mazda3,Sedan,2014,12,Automatic,Hybrid,4,193901,3970
Renault,Clio,Hatchback,2016,10,Manual,Petrol,4,80824,5510
Volkswagen,Jetta,Sedan,2021,5,Manual,Petrol,1,60565,10500
Toyota,Camry,Sedan,2026,0,Automatic,CNG,1,500,23580
Audi,A6,Sedan,2024,2,Manual,Petrol,1,26741,39240
Audi,A6,Sedan,2016,10,Manual,Hybrid,2,182474,16470
Toyota,Prius Prime,Hatchback,2023,3,CVT,Hybrid,2,35030,18730
Lexus,IS,Sedan,2015,11,Semi-Automatic,Petrol,4,219474,7880
Land Rover,Range Rover Evoque,SUV,2024,2,Automatic,Petrol,1,20447,38880
Kia,Carnival,Minivan,2018,8,Manual,Diesel,3,81973,11680
Lexus,NX,SUV,2018,8,Automatic,Diesel,3,76790,15890
Hyundai,Tucson,SUV,2021,5,Automatic,Petrol,2,82524,14900
Chevrolet,Camaro Convertible,Convertible,2017,9,Automatic,Diesel,2,147769,11820
Toyota,Tundra,Truck,2026,0,Automatic,Petrol,1,500,38960
